ID,Sex,Age,Health,Education,Level_before,Level_after,difference,Join
1,0,60,1,1,0,0,0,1
2,1,61,1,1,2,1,1,2
3,0,32,2,2,0,0,0,0
4,1,40,2,1,0,0,0,0
5,0,61,1,1,0,0,0,1
6,1,60,1,1,1,0,1,1
7,0,37,2,3,1,1,0,2
8,1,34,0,1,1,1,0,0
9,0,77,0,1,1,1,0,2
10,1,75,1,0,1,1,0,1
11,0,60,1,1,1,0,1,1
12,1,60,1,1,2,0,2,2
13,2,28,2,3,2,1,1,0
14,0,50,2,2,0,0,0,2
15,1,50,1,1,1,0,1,1
18,0,67,1,1,0,0,0,1
19,1,65,0,1,2,1,0,2
20,0,34,0,1,1,0,1,0
21,0,66,0,1,1,0,1,1
22,1,63,1,0,0,0,0,1
25,0,79,1,1,0,0,0,1
26,0,79,1,0,1,1,0,1
27,1,70,0,0,1,1,0,1
28,0,40,2,1,0,0,0,0
29,1,40,2,1,0,0,0,0
30,1,67,2,0,0,0,0,2
31,1,43,0,2,1,0,1,0
33,0,43,1,2,1,0,1,0
34,1,39,0,1,1,0,1,1
37,0,43,0,2,2,0,2,2
38,1,40,2,1,0,0,0,2
42,0,79,1,1,0,0,0,0
44,0,68,0,1,1,0,1,0
45,0,45,0,2,1,0,1,1
46,0,62,1,1,2,2,0,0
47,1,61,1,0,1,1,0,0
48,0,69,1,1,0,0,0,0
49,1,65,1,1,0,0,0,0
